-,-,-
-263,-440,2103
-241,-428,2124
-108,106,2104
-126,87,2221
-140,81,2215
-176,115,2124
-150,131,2113
-155,106,2209
-170,144,2116
-166,112,2137
-154,124,2121
-134,127,2029
-161,96,2023
-159,120,1807
-182,54,1558
-163,26,1217
61,71,997
220,-10,717
-257,-152,1126
-15,-351,1487
366,-333,1210
-46,-746,1982
332,-821,2323
404,-887,2026
-8,-1162,3367
496,-973,3147
-147,-970,3869
-22,-864,4021
133,-1003,4457
243,-1173,4594
385,-1082,4061
484,-1003,3452
369,-973,3177
452,-861,2583
356,-790,2195
199,-768,1704
4,-436,1315
-129,-218,923
-270,-44,554
-511,82,451
-510,232,0
-506,359,73
-412,44,62
-491,216,179
-291,162,259
224,98,275
47,-286,421
65,-581,1663
176,-919,2274
69,-1047,2704
-24,31820,2988
-256,-1150,3411
-244,-844,3408
158,-804,3351
-166,-958,3995
-416,-1080,4239
-527,-967,3928
-653,-988,3786
-533,-991,3530
-167,-926,2989
-3,-811,2576
-8,-693,2156
-67,-636,1975
-63,-441,1671
-342,-260,1270
-323,4,1109
-307,259,841
-267,267,992
-219,324,995
-83,310,1229
-16,280,1549
-224,374,1593
-245,370,1834
-233,369,2030
-214,455,2036


















-,-,-
-177,64,2147
-180,60,2155
-268,41,2127
-277,98,2059
-205,140,1940
-289,140,1777
-368,98,1710
-393,68,1376
-203,93,997
-130,141,708
117,-16,636
63,-182,433
-193,-616,1335
625,-792,994
-128,-988,1426
-377,-1500,3038
-242,-1483,3338
-441,-1781,4351
-384,-1581,4688
-172,-1497,4789
-45,-1424,4430
212,-1525,4342
244,-1440,3838
319,-1243,3238
393,-1083,2563
169,-815,1939
9,-684,1676
-73,-412,1183
-142,-212,863
-326,-107,662
-291,100,490
-378,217,260
-373,330,49
-345,227,220
-286,245,109
-136,294,26
-211,86,447
218,-263,882
78,-676,1484
253,-1172,2473
39,-1209,2664
-105,-1307,3141
316,-1142,2776
-491,-1199,3420
-205,-1274,3674
-315,-1307,3574
-605,-1464,4225
-607,-1462,4026
-466,-1420,3730
-419,-1301,3453
-257,-1190,2964
19,-1111,2624
138,-984,2215
134,-837,1816
168,-685,1455
-41,-477,1223
-341,-34,789
-523,304,644
-555,341,897
-362,330,954
-325,181,1230
-259,63,1659
-342,156,1722
-424,245,1783
-408,243,1913
-384,166,2169
-310,158,2179
-238,123,2219
-300,92,2340
-276,82,2296
-225,108,2230
-227,144,2171
-215,122,2135
-169,176,2133
-328,120,2146


















-,-,-
-216,-104,2046
-216,-93,2071
-189,-84,2006
-270,-93,1923
-340,-86,1784
-333,-21,1620
-219,-28,1456
-201,-29,1225
-200,-33,930
247,54,483
-10,-89,427
389,-547,717
319,-1050,1010
-115,-1793,2434
-180,-2255,3562
-907,-2229,4097
-494,-1672,4004
-315,-1423,3829
103,-1275,3497
186,-1462,3870
240,-1557,3672
140,-1632,3655
131,-1611,3369
187,-1441,2749
26,-1172,2139
-144,-916,1647
-162,-741,1290
-100,-440,853
-194,-133,405
-390,57,204
-314,115,358
-376,387,-254
-1,407,-370
98,331,-325
-99,207,-182
145,-197,273
496,-785,454
401,-1516,1590
227,-2447,2721
-1170,-2943,4373
-1210,-2476,4692
-857,-1954,3826
-683,-2019,4257
-448,-1864,3626
-611,-1946,3760
-506,-1915,3448
-323,-1787,2996
-343,-1633,2647
63,-1368,2163
15,-961,1453
-69,-669,1132
-110,-399,833
-141,-97,560
-344,232,343
-236,159,1048
-137,115,1194
-91,29,1369
-215,14,1742
-208,76,1886
-246,64,2043
-232,-2,2308
-238,69,2236
-64,97,2239
-27,-20,2298
18,16,2270
-28,75,2135
-81,110,2154
-133,36,2224
-135,-16,2267
-184,8,2195
-108,30,2205
-166,19,2165
-179,11,2157
-110,64,2087
-189,62,2073


















-,-,-
-120,-105,2059
-131,-85,2045
-159,-117,2086
-83,-78,1994
-201,-103,1910
57,-74,1488
54,-94,1065
-16,-80,707
245,29,331
440,-99,72
-333,-695,994
-534,-1173,2016
-126,-1502,2194
-263,-1922,3056
263,-2005,3215
-128,-2135,3966
-251,-2176,4577
-208,-2003,4421
50,-1949,4033
90,-1821,3673
156,-1661,3181
131,-1539,2716
209,-1285,2143
98,-1097,1715
-41,-835,1399
3,-511,1027
-209,-270,754
-341,-110,637
-551,204,379
-504,334,203
-554,386,6
-451,340,265
-372,308,281
-370,153,333
47,-270,967
-117,-665,1395
244,-1109,1864
386,-1402,2497
185,-1423,2782
60,-1486,3128
20,-1612,3684
294,-1546,3656
-85,-1349,3415
96,-1308,3313
-24,-1263,3207
-771,-1235,3326
-803,-1143,3130
-468,-1089,2867
-358,-990,2564
-271,-1104,2494
126,-1162,2330
314,-981,1847
-38,-681,1548
-234,-410,1332
-334,-103,1045
-366,59,1018
-162,182,1128
-148,230,1093
-128,186,1290
-255,122,1570
-226,42,1844
-293,15,2168
-295,43,2101
-188,33,2287
-88,6,2280
-137,1,2219
-146,75,2185
-147,98,2199
-110,4,2273
-94,-2,2199
-117,74,2093
-125,89,2111
-187,54,2133
-155,85,2098
-212,88,2098


















-,-,-
-362,311,1651
-544,381,1340
-251,200,1233
-27,-96,984
221,-375,1134
330,-571,1145
585,-679,814
-49,-741,995
-94,-1088,2117
-260,-1053,1955
-744,-1454,3420
-471,-1413,3134
-590,-1456,3764
-286,-1361,3884
-355,-1294,4021
32,-1348,4112
30,-1314,3895
14,-1388,3622
278,-1306,3072
450,-1223,2581
429,-1134,2171
340,-940,1858
400,-800,1586
143,-580,1384
-102,-368,1255
-340,-82,898
-173,139,629
-338,367,397
-508,454,322
-458,538,149
-326,352,280
-362,182,521
-91,-121,604
-46,-354,1135
-105,-695,1682
-111,-977,1851
174,-1071,2278
-78,-1465,3227
-270,-1266,3067
218,-1141,3001
-98,-1335,3518
-180,-1361,3843
24,-1252,3636
-468,-1354,3934
-376,-1345,3784
-153,-1197,3162
-207,-1111,2814
-161,-1074,2619
111,-918,2093
180,-815,1717
123,-574,1545
-226,-354,1445
-426,-336,1500
-531,-103,1192
-615,91,1016
-388,53,1197
-393,-5,1349
-359,42,1491
-306,118,1534
-193,113,1742
-394,182,1811
-221,78,2070
-143,43,2223
-168,23,2351
-167,31,2310
59,42,2215
-114,115,2113
-211,12,2288
-183,12,2259
-176,25,2249
-141,46,2099
-176,67,2110
-175,129,2086
-241,113,2063
-297,61,2190


















-,-,-
-52,-85,2141
-123,-52,2077
-168,-27,2107
-212,-34,2133
-251,-9,2060
-305,17,1936
-183,30,1783
-204,16,1599
-246,-27,1246
80,-5,537
308,22,-342
-107,-448,582
-180,-553,504
-251,-877,1099
-173,-1338,2101
-141,-1852,3238
274,-2244,3946
520,-2118,3977
165,-1611,3879
-106,-1370,3814
-411,-1480,4195
-98,-1553,3794
21,-1673,3680
-67,-1476,3050
130,-1430,2808
231,-1280,2329
41,-1130,2104
-109,-812,1627
-181,-523,1264
-278,-244,960
-344,71,578
-525,234,484
-611,263,367
-250,256,230
9,102,235
-46,77,270
217,70,130
22,-128,362
-156,-423,967
190,-803,1250
-241,-1229,2340
-54,-1452,2811
-227,-1699,3341
-27,-1780,3958
57,-1631,3726
-509,-1666,4245
-84,-1531,3975
-168,-1456,3742
-433,-1408,3543
-274,-1362,3206
34,-1247,2725
147,-998,2171
-45,-787,1915
-8,-531,1469
-97,-309,1123
-295,-169,998
-311,-103,1040
-355,-32,1094
-254,12,1178
-201,67,1245
-143,140,1425
-269,187,1601
-291,137,1899
-331,109,2107
-275,70,2228
-230,53,2371
-129,43,2286
-116,42,2269
-122,93,2229
-144,75,2245
-168,67,2196
-129,89,2109
-176,75,2139
-248,126,2082
-185,51,2166


















-,-,-
-203,25,1866
-237,-43,1834
-197,-98,1766
-165,-63,1587
-189,-68,1340
72,-114,994
286,19,455
232,19,396
-146,-258,906
-925,-472,1483
-245,-1065,2162
217,-1150,1772
-596,-1891,3488
-181,-1866,3222
-30,-1667,3281
173,-1520,3355
148,-1140,3140
46,-1299,3595
5,-1524,3984
95,-1628,3800
425,-1692,3543
779,-1517,2997
661,-1285,2362
481,-1118,2129
102,-911,1794
-252,-684,1467
-306,-406,1160
-411,-207,903
-666,-47,700
-718,12,558
-488,130,204
-278,92,202
-191,95,352
-187,172,160
-200,-42,517
-36,-381,1032
151,-832,1182
-664,-1457,2529
-588,-1031,2685
-423,-839,2793
-575,-1070,3582
394,-1131,3416
393,-1218,3697
224,-1022,3575
161,-1194,3890
-55,-1184,3704
-131,-1238,3589
-124,-1153,3193
-59,-1128,2864
36,-943,2296
-26,-705,1902
-97,-471,1480
-255,-319,1284
-452,-156,1069
-291,-21,858
-305,-31,1026
-251,-10,1352
-151,95,1305
-179,84,1511
-386,83,1845
-324,147,2005
-272,79,2178
-209,-9,2278
-100,64,2238
-91,164,2097
-147,165,2156
-199,165,2200
-120,183,2102
-91,89,2211
-85,25,2228
-84,87,2158
-123,156,2030
-219,144,2142
-252,180,2111
-163,121,2144


















-,-,-
-198,-58,2116
-256,-77,2143
-81,-66,1925
-119,-46,1855
-372,-1,1683
-451,-45,1517
-136,24,1092
15,211,497
-9,-38,500
215,-458,908
304,-750,1075
405,-1201,1785
222,-1691,3020
316,-1503,2909
-597,-1339,3252
-420,-1038,3187
-500,-1180,3674
-236,-1325,3843
162,-1439,3959
228,-1484,3646
309,-1395,3441
428,-1274,2969
625,-1242,2660
535,-1079,2449
121,-829,2059
-109,-694,1725
-128,-326,1041
-156,-285,1135
-321,-188,1018
-472,58,489
-490,213,213
-396,120,257
-286,199,153
-232,128,376
-283,-88,690
93,-487,1375
304,-761,1593
605,-1234,2210
587,-1280,2522
411,-1357,3306
134,-1255,3339
84,-1362,4042
-67,-1341,4003
-447,-1296,3876
-460,-1257,3731
-325,-1197,3509
-130,-1072,2802
-60,-959,2603
175,-871,2167
180,-701,1790
-66,-489,1452
20,-294,1257
-93,-181,1288
-213,-54,1187
-223,30,1214
-202,95,1297
-201,120,1353
-273,159,1560
-273,118,1892
-281,93,1972
-237,79,2165
-164,88,2181
-168,46,2216
-127,39,2279
-156,92,2133
-100,52,2216
-57,98,2154
-150,95,2195
-168,86,2159
-92,118,2133
-103,74,2130
-184,76,2105
-43,81,2137
-176,110,2053
-264,100,2093


















-,-,-
-174,64,2124
-187,117,2087
-173,81,2076
-188,146,1966
-343,189,1799
-180,-5,1652
-109,-148,1471
201,-191,891
568,-20,-70
707,-117,-405
130,-379,151
-478,-1028,1446
-566,-1568,2464
-838,-2158,3802
-366,-2341,4527
74,-1931,4461
226,-1344,3903
171,-1142,3774
72,-1234,3874
97,-1343,3610
132,-1273,3268
183,-1172,2837
24,-1080,2555
61,-1028,2166
32,-889,1820
-292,-601,1186
-448,-308,841
-425,-47,582
-516,118,299
-435,255,195
-294,244,-6
11,120,12
108,-61,360
122,-206,535
414,-528,1174
622,-836,2056
343,-1127,2842
673,-1389,3164
738,-1405,3127
-579,-1378,3512
-210,-1301,3494
-387,-1480,3809
-845,-1518,3951
-748,-1437,3630
-580,-1333,3189
-430,-1136,2792
-406,-1012,2471
-291,-844,2081
-200,-522,1587
-148,-367,1233
-113,-273,1033
-56,-204,1057
-122,-138,1153
-168,-161,1500
-112,10,1375
-142,91,1517
-255,12,1857
-219,54,1979
-141,8,2127
-75,-89,2212
-49,-117,2324
-38,-84,2277
-76,-31,2171
-105,2,2196
-38,-43,2162
-99,-89,2186
-182,12,2097
-199,-20,2080
-132,-75,2151
-160,-62,2139
-166,-14,2101
-166,-25,2134
-197,-77,2161
-180,-15,2115
-236,-72,2083


















-,-,-
-196,-135,2179
-223,-183,2252
-231,-162,2158
-220,-167,2089
-298,-61,1779
-220,-15,1523
-225,49,1204
186,15,670
657,67,-258
1091,-217,-184
185,-886,1069
-272,-1203,1691
-369,-1591,2702
-509,-2069,3717
-397,-1894,3792
-262,-1571,3723
-202,-1354,3667
